# Description
# 
# generation date:       12-Sep-2022
# source data file name: "Fiorano_GoogleEarth_edges_no_kerbs"
#! x0     =  -0.00391887
#! y0     =   0.00357526
#! z0     =   0.00000000
#! theta0 =   0.80065324
# Finish line coordinates
#! FinishLineLatitude  =        44.53443004802746
#! FinishLineLongitude =         10.8576092454251
#! FinishLineAltitude  =                      189
x_mid_line	y_mid_line	dir_mid_line	abscissa	curvature	width_L	width_R	elevation	banking	slope	upsilon	torsion
-0.00391887216477596750374701	0.00357526068751687093466574	0.80065323763032925086236	0	-0.00014031446554372200641661	4.03360431013818576673202	3.98868784652072116969634	0	0	0	0	0
2.7823299954714104664788	2.87495736577102389830429	0.800307826227974250521413	4.00100213810302030026378	-5.92419868483178975958857e-05	4.04141160505284702253448	3.98537803784986399691093	0	0	0	0	0
5.56926277181098328128428	5.74567569394244692659868	0.800121844517511671135424	8.00200427080788756484253	-3.42681184869603059272788e-05	4.04997843557953807192007	3.98116509697625398089826	0	0	0	0	0
8.35658448322107005878934	8.61601639374934435977593	0.80003737365057114860889	12.0030064034780181714268	-6.58615562723488627414796e-06	4.05851440343697511536902	3.97163898252840130709274	0	0	0	0	0
11.143997491615587946967	11.4862684359448596893571	0.800055515893908331115369	16.0040085361579862421877	1.61383556821811230668623e-05	4.06607981584474220682068	3.96096766229496033417945	0	0	0	0	0
13.9312497784199216255274	14.3566765507009126423554	0.800141752472482981062285	20.0050106688137248056591	2.6945928286000243222437e-05	4.07148375615698299156975	3.95094164184470342249256	0	0	0	0	0
16.7182198635047640777884	17.2273586641994498336317	0.800242586782338061190956	24.0060128014657578887636	2.29019508716970747041076e-05	4.07486958705956681114912	3.94209164440598058831711	0	0	0	0	0
19.5049432567868521459786	20.0982802565527656213362	0.800306802858919419385586	28.0070149341412708565713	8.94470910365710590356116e-06	4.07709311974561305902398	3.93474189208849667309664	0	0	0	0	0
22.2915667708656215495466	22.9692987964442920656438	0.80031066075584900154638	32.0080170668235481912234	-7.19425734055686882153493e-06	4.07937028664812473266466	3.92902165313643791932918	0	0	0	0	0
25.0782844629113341738957	25.8402259225109354190408	0.80023681981015648556621	36.0090191995148103387692	-2.98969621790216513604679e-05	4.08288558173893090241791	3.92484332003742064642893	0	0	0	0	0
27.8653523770075999266282	28.7108130519844273464969	0.800063926299692695920385	40.0100213322076214694789	-5.67507011651858934140648e-05	4.08728646178472843075724	3.92195992359081602174342	0	0	0	0	0
30.6530726434073166331018	31.5807666535939937091371	0.799781591066220154395694	44.0110234648859659500886	-8.45941880791310015126616e-05	4.09180866200475712446405	3.92004750388464673349631	0	0	0	0	0
33.4417584564884151632214	34.449782042048418873037	0.799392490180053871817734	48.0120255975351497568226	-0.000110075271772416195706183	4.09635324403355038924701	3.91866836584726252468158	0	0	0	0	0
